Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
PRKACA,P17612,AGC,PKA,NA,2.6989700043360187,2.6989700043360187,2.6989700043360187,-1.1679439167944279,-1.1672302466410325,0.03040783554061074,NA,50
PRKG1,Q13976,AGC,PKG,NA,2.5260475042507644,2.6989700043360187,2.6989700043360187,-1.1891861968938084,-1.1764093030550873,0.04947174869053716,NA,35
PRKG2,Q13237,AGC,PKG,NA,2.445269867813402,2.6989700043360187,2.6989700043360187,-1.1891011078991254,-1.1904112969209755,0.020125747055894098,NA,32
CHUK,O15111,OTHER,IKK,NA,1.942464069841332,2.0969100130080562,2.3979400086720375,-1.60255765182314,-1.5917510258561676,0.016209938950458525,NA,4
RPS6KB2,Q9UBS0,AGC,RSK,NA,2.114666333534595,2.0969100130080562,2.6989700043360187,-1.203640116400338,-1.23990512133241,0.10963714608780292,NA,23
RPS6KA5,O75582,AGC-CAMK,RSK,NA,2.012353138650998,1.9208187539523751,2.6989700043360187,-1.1019965246701484,-1.1044123670390227,0.008307490100432883,NA,40
PRKCA,P17252,AGC,PKC,NA,1.729740226556782,1.6989700043360187,2.0969100130080562,-1.1471767127259358,-1.1561365646747912,0.017543519838790846,NA,24
PRKX,P51817,AGC,PKA,NA,1.6480035700773341,1.6197887582883939,2.3979400086720375,-1.1114048428200898,-1.1196450821071822,0.031460172539861546,NA,30
PRKCD,Q05655,AGC,PKC,NA,1.3963735123517345,1.3565473235138126,1.853871964321762,-1.1433560950203958,-1.150140862960305,0.022044409204295425,NA,21
PSKH1,P11801,CAMK,PSK,NA,1.1517294508207185,1.17630851494269,1.2365720064370627,-1.4068590872102376,-1.4068590872102376,0.04695985604388103,NA,4
PRKACB,P22694,AGC,PKA,NA,1.173624436803734,1.0655015487564323,2.0969100130080562,-1.0911609995915996,-1.089117210500046,0.021351373446107057,NA,25
CAMK2A,Q9UQM7,CAMK,CAMK2,NA,1.0486164611792794,1.0555173278498313,1.337242168318426,-1.2528012278113247,-1.2777470559431743,0.11193755734230418,NA,6
IKBKB,O14920,OTHER,IKK,NA,0.992732965202212,0.9913998282380825,1.0861861476162833,-1.29677162702612,-1.3259333354059921,0.040627399879379744,NA,4
STK38L,Q9Y2H1,AGC,NDR,NA,1.1054828933821128,0.9829666607012196,1.3979400086720375,-1.2156695418965489,-1.2873980167539267,0.12423736280240513,NA,7
AKT3,Q9Y243,AGC,AKT,NA,0.8762315807639488,0.958607314841775,1.0655015487564323,-1.1513688331388217,-1.167455455168978,0.06764958759581802,NA,9
CAMK4,Q16566,CAMK,CAMK1,NA,0.981204642614892,0.958607314841775,1.3979400086720375,-1.1693018192207865,-1.1806789111133806,0.05353532541694412,NA,10
PRKCE,Q02156,AGC,PKC,NA,0.8396285284434674,0.9430951486635274,1.1426675035687315,-1.0869306624019195,-1.067271393905671,0.05707005292893316,NA,19
CAMK2G,Q13555,CAMK,CAMK2,NA,0.8869152012776167,0.9322110733275351,1.0362121726544447,-1.1926154450529578,-1.192547510247406,0.06542498622216006,NA,7
PIM1,P11309,CAMK,PIM,NA,0.9319699854553811,0.9281179926938746,1.0861861476162833,-1.015123752069202,-1.0172570185876908,0.009332030345036244,NA,55
PRKD1,Q15139,CAMK,PKD,NA,0.9189944998487587,0.9281179926938746,0.9913998282380825,-1.2157966993209604,-1.2157966993209604,0,NA,6
SGK2,Q9HBY8,AGC,SGK,NA,0.7861709213548694,0.8068754016455384,1.1426675035687315,-1.0925752420040395,-1.0917726196628075,0.02802945479675892,NA,15
PRKCG,P05129,AGC,PKC,NA,0.729406396313058,0.8013429130455774,1.154901959985743,-1.1040071405321246,-1.0627704229578738,0.10483785133301142,NA,13
PRKCB,P05771,AGC,PKC,NA,0.7486603161584428,0.7851561519523022,0.9136401693252518,-1.0776285826379965,-1.0578346672493648,0.030491479231125333,NA,20
PIM2,Q9P1W9,CAMK,PIM,NA,0.7695895181211211,0.6695862266508091,1.4202164033831899,-1.0305224040143184,-1.0245251135069247,0.0433042750594369,NA,35
PRKY,O43930,AGC,PKA,NA,0.702435053861568,0.6497519816658371,1.0861861476162833,-1.0846997339483526,-1.1496289496390895,0.1480743756040223,NA,9
CAMK2D,Q13557,CAMK,CAMK2,NA,0.6824749047490226,0.6168530769897135,1.1674910872937636,-1.1154554072559244,-1.1209442614304916,0.0807090572273819,NA,7
AKT1,P31749,AGC,AKT,NA,0.6011304485154012,0.575118363368933,0.8239087409443188,-1.0285539282421028,-1.0318800148549296,0.030372247703725853,NA,25
RPS6KA4,O75676,AGC-CAMK,RSK,NA,0.5260141231001317,0.5670573215754116,0.6420651529995461,-1.1583735121515197,-1.1189670402735408,0.07296660745150935,NA,4
CDK15,Q96Q40,CMGC,CDK,NA,0.5284741305939387,0.5590909179347823,0.623423042943488,-1.1131897388583336,-1.0826540936480966,0.05163502563053356,NA,5
CDK10,Q15131,CMGC,CDK,NA,0.5834336317415999,0.543633966870957,0.7746907182741372,-1.096551189993156,-1.102411650383637,0.04497076452254349,NA,5
PRKCH,P24723,AGC,PKC,NA,0.5184392697895853,0.5228787452803376,0.7166987712964504,-1.0232726472167017,-1.032934056204001,0.030798598165497883,NA,13
MYLK3,Q32MK0,CAMK,MLCK,NA,0.5250792131339928,0.5187490377846999,0.562249437179612,-1.1333230356433177,-1.1333230356433177,0,NA,3
PRKACG,P22612,AGC,PKA,NA,0.48081606721057757,0.4814860601221125,0.494850021680094,-1.094262138441315,-1.094262138441315,0,NA,3
SGK1,O00141,AGC,SGK,NA,0.5148017522023068,0.42021640338318983,1.0757207139381184,-0.9960442019304786,-1.0077456070724868,0.05465047815540668,NA,19
NEK8,Q86SG6,NEK,NEK,NA,0.4003297886007797,0.40232697082579016,0.5783960731301689,-1.0273499539118593,-1.0273499539118593,0.12415944350346288,NA,4
PKN2,Q16513,AGC,PKN,NA,0.3625102704874893,0.3625102704874893,0.3625102704874893,-1.0010573445819253,-1.0010573445819253,NA,NA,3
AKT2,P31751,AGC,AKT,NA,0.3749925516730477,0.3585258894959005,0.5590909179347823,-0.9795487430233109,-0.9851210525430947,0.022936811205209077,NA,24
CAMK2B,Q13554,CAMK,CAMK2,NA,0.4204469652562747,0.3467874862246563,0.8124792791635369,-0.9874214152142061,-1.0279561108769708,0.06922241335017523,NA,5
MTOR,P42345,Atypical,PIKK,NA,0.30223297426961876,0.3391345219961308,0.3545777306509081,-0.9826170861116106,-0.9657389322068288,0.0459737552011343,NA,6
MAPKAPK3,Q16644,CAMK,MAPKAPK,NA,0.2813952547618659,0.32239304727950685,0.5114492834995558,-0.9692187653511368,-0.944021584716786,0.057521405960379066,NA,31
AURKB,Q96GD4,CAMK,AUR,NA,0.30020892817254347,0.3205721033878811,0.37675070960209955,-0.986736278182775,-0.949853831859215,0.07318633553687123,NA,4
CSNK1A1,P48729,CK1,CK1,NA,0.3159270186872564,0.3115801779972894,0.5228787452803376,-0.992407401491529,-0.959248855691906,0.06741901765290993,NA,9
CDK14,O94921,CMGC,CDK,NA,0.3110099529884386,0.3098039199714863,0.3391345219961308,-0.9532086538944861,-0.9532086538944861,0,NA,3
CSNK1D,P48730,CK1,CK1,NA,0.29843287320472767,0.29843287320472767,0.29929628285498067,-0.955396325714136,-0.955396325714136,0,NA,3
