UniprotID	Score
P17612	-1.167943916794428
Q13976	-1.1891861968938084
Q13237	-1.1891011078991254
O15111	-1.60255765182314
Q9UBS0	-1.203640116400338
O75582	-1.1019965246701484
P17252	-1.1471767127259358
P51817	-1.1114048428200898
Q05655	-1.1433560950203958
P11801	-1.4068590872102376
P22694	-1.0911609995915996
Q9UQM7	-1.2528012278113247
O14920	-1.29677162702612
Q9Y2H1	-1.2156695418965489
Q9Y243	-1.1513688331388217
Q16566	-1.1693018192207865
Q02156	-1.0869306624019195
Q13555	-1.1926154450529578
P11309	-1.015123752069202
Q15139	-1.2157966993209604
Q9HBY8	-1.0925752420040395
P05129	-1.1040071405321246
P05771	-1.0776285826379963
Q9P1W9	-1.0305224040143184
O43930	-1.0846997339483526
Q13557	-1.1154554072559244
P31749	-1.0285539282421028
O75676	-1.1583735121515195
Q96Q40	-1.1131897388583336
Q15131	-1.096551189993156
P24723	-1.0232726472167015
Q32MK0	-1.1333230356433175
P22612	-1.094262138441315
O00141	-0.9960442019304786
Q86SG6	-1.0273499539118591
Q16513	-1.0010573445819253
P31751	-0.9795487430233109
Q13554	-0.987421415214206
P42345	-0.9826170861116106
Q16644	-0.9692187653511368
Q96GD4	-0.986736278182775
P48729	-0.992407401491529
O94921	-0.953208653894486
P48730	-0.955396325714136
P49674	-0.955396325714136
Q96BR1	-0.9706261083998587
Q99558	-0.9696451843583368
P49841	-0.9469445124782284
Q14164	-0.951053960669262
Q9H4B4	-0.9305404132254556
Q04759	-0.9658021683215764
P10398	-0.9352324840698004
P15056	-0.9352324840698004
Q86V86	-0.9352324840698004
Q13464	-0.9345588124289446
O15075	-0.91014158088995
Q13131	-0.9344829615886
P51812	-0.9411766133596218
O75116	-0.9083367256529604
Q9UIK4	-0.875442264314509
P16066	-0.9358861283430642
Q9UHD2	-0.850950934833203
Q15759	-0.8656023370919986
Q13153	-0.8809329138022477
P78527	-0.8705894667870228
Q15349	-0.9279823414304732
Q15418	-0.9157551938139268
O96017	-0.9014949820913392
P53355	-0.7491603318390309
P41743	-0.886947901191786
P20594	-0.843187890530137
Q13535	-0.8482633394256781
Q9UK32	-0.8653430044249406
P49137	-0.9051821865994768
P23443	-0.880112886585294
P04049	-0.8155759491897737
Q92772	-0.6883099570107502
Q05513	-0.8260781567343503
P68400	-0.6794061832234738
Q9Y6S9	-0.6906802258872909
Q8N568	-0.8079103305565194
Q9UQ88	-0.7057356431563161
Q00526	-0.7629332891373141
O76039	-0.710581268203792
P11802	-0.6772594195764622
Q00534	-0.6772594195764622
Q9Y478	-0.680105887004505
O14965	-0.7183621983177114
Q00532	-0.6897793703789757
P20794	-0.587481438224161
Q8IWB6	-0.5967341099942131
P49840	-0.5592237129259573
Q9BWU1	-0.5611834625438115
Q9UPZ9	-0.524316791285553
Q00537	-0.5231166171408924
P50613	-0.7239057930396241
Q8NI60	-0.6846521776725375
O43293	-0.5170038734210299
Q9C098	-0.4512655434224967
Q16512	-0.605218404465761
Q5MAI5	-0.418563238405087
Q07002	-0.4931327308157375
O60285	-0.4947868765538051
Q8TD08	-0.41400223084266274
O14757	-0.621820391148986
P53778	-0.5799450967556299
Q13164	-0.6413937646779697
Q14004	-0.35878710759364385
Q13627	-0.2969319577526915
O15264	-0.6581197073184598
Q16539	-0.6155117512149729
P50750	-0.43990882190602826
P06493	-0.5598602499415309
P24941	-0.5716114953633179
Q00535	-0.5131320898729183
P28482	-0.48901704625279874
P53779	-0.5901954434435047
P27361	-0.5223826103709825
P45983	-0.5901954434435047
P45984	-0.6141078530257208
