Kinase Name,Kinase Uniprot ID,Kinase Group,Kinase Family,Mean Significance Score,Mean Specificity Score,Median Final score,Max Final score,Median Kinase Statistic,Mean Kinase Statistic,SD Kinase Statitistic,Median Kinase Change,Mean peptide set size
PRKACA,P17612,AGC,PKA,NA,2.6989700043360187,2.6989700043360187,2.6989700043360187,-1.4356962499513743,-1.4378362968035876,0.013365954882878492,NA,50
PRKG2,Q13237,AGC,PKG,NA,2.3740500836624765,2.6989700043360187,2.6989700043360187,-1.4829472886299804,-1.4805722610247678,0.01114000036156433,NA,32
PRKG1,Q13976,AGC,PKG,NA,2.232330540196744,2.3979400086720375,2.6989700043360187,-1.4451821089696983,-1.4471537348516803,0.01746248181922213,NA,35
PRKX,P51817,AGC,PKA,NA,2.3619229203930243,2.3979400086720375,2.6989700043360187,-1.5319553097760876,-1.5176307142693906,0.06958158362938942,NA,30
RPS6KB2,Q9UBS0,AGC,RSK,NA,1.789794095614373,1.5528419686577808,2.6989700043360187,-1.4816940811341794,-1.4872834666306132,0.050499378183267336,NA,23
CHUK,O15111,OTHER,IKK,NA,1.4210260353089976,1.4202164033831899,1.6197887582883939,-1.7106113614605567,-1.7348868626174927,0.036413251735404106,NA,4
PRKACB,P22694,AGC,PKA,NA,1.3008486291466168,1.2676062401770316,2,-1.4302793057093237,-1.418355652997666,0.02461207820937884,NA,25
STK38L,Q9Y2H1,AGC,NDR,NA,1.176064045826112,1.2518119729937995,1.3767507096020994,-1.5603933457561514,-1.5702740199527696,0.01711382972157752,NA,7
PIM2,Q9P1W9,CAMK,PIM,NA,1.0128808714464836,1.207608310501746,1.4436974992327127,-1.3702934445639436,-1.3588054303370767,0.03900214412448879,NA,35
PRKCA,P17252,AGC,PKC,NA,1.1891983410873181,1.1804560644581312,1.4685210829577449,-1.4021839973492602,-1.412887707146159,0.028194243272936566,NA,24
CAMK2G,Q13555,CAMK,CAMK2,NA,1.0576902579383887,1.1144268255925074,1.2218487496163564,-1.544081530794492,-1.5388022165151034,0.04329709307536887,NA,7
PRKCD,Q05655,AGC,PKC,NA,1.0955177998172414,1.1079053973095196,1.193820026016113,-1.4165449901740064,-1.4215774195762552,0.014619394630425536,NA,21
RPS6KA5,O75582,AGC-CAMK,RSK,NA,1.1543816055580967,1.1079053973095196,1.3565473235138126,-1.375674406198011,-1.3715952660586006,0.016983444126131047,NA,40
AKT1,P31749,AGC,AKT,NA,0.9328395752636759,0.9746941347352298,1.3187587626244128,-1.3955332983895858,-1.391297055864285,0.049276203002587726,NA,25
PIM1,P11309,CAMK,PIM,NA,0.9478731714303009,0.958607314841775,1.0655015487564323,-1.3304200687620722,-1.3316918198164027,0.010202389374992897,NA,55
CAMK2A,Q9UQM7,CAMK,CAMK2,NA,1.0558020183846775,0.9507819773298184,1.4436974992327127,-1.5686455239885424,-1.5667863556887085,0.07956166103924533,NA,6
AKT2,P31751,AGC,AKT,NA,0.9121421558240811,0.9136401693252518,1.2365720064370627,-1.3743155129041709,-1.388061025509679,0.03869118224795265,NA,24
PSKH1,P11801,CAMK,PSK,NA,0.9001955495508184,0.8861080495731408,1.154901959985743,-1.5950424386648192,-1.5950424386648192,0.04422373395985936,NA,4
AKT3,Q9Y243,AGC,AKT,NA,0.8599392499932704,0.8860566476931632,1.337242168318426,-1.4579504578385378,-1.480128876674979,0.09353088453215576,NA,9
PRKY,O43930,AGC,PKA,NA,0.942067178283936,0.8860566476931632,1.6197887582883939,-1.5193385295781363,-1.4977210772566754,0.06537319975472052,NA,9
PRKCB,P05771,AGC,PKC,NA,0.6578539592949774,0.7544873321858502,0.8181564120552275,-1.3777920496150897,-1.3599651038948561,0.03705375558261587,NA,20
CAMK4,Q16566,CAMK,CAMK1,NA,0.7923670898450337,0.7495799976911061,1.0969100130080565,-1.4131208240497424,-1.4388432755652125,0.04909803671479213,NA,10
CAMK2D,Q13557,CAMK,CAMK2,NA,0.7785106269096211,0.7491965387905852,1.3767507096020994,-1.4525271348195452,-1.4523204262250102,0.06707195064471885,NA,7
MTOR,P42345,Atypical,PIKK,NA,0.6990468295899109,0.6497519816658371,0.8538719643217619,-1.4673202697713472,-1.4678908446217742,0.012853997485348979,NA,6
CAMK2B,Q13554,CAMK,CAMK2,NA,0.7164189175667917,0.6270879970298935,1.337242168318426,-1.5111872481208415,-1.4949509243458772,0.06498484369103137,NA,5
CDKL4,Q5MAI5,CMGC,CDKL,NA,0.6321328190991629,0.6216363155247311,0.744727494896694,-1.5046955064609842,-1.5100678881071108,0.009947717823266575,NA,3
CSNK1E,P49674,CK1,CK1,NA,0.5376020021010439,0.5376020021010439,0.5376020021010439,-1.483386408461939,-1.483386408461939,NA,NA,3
CSNK1D,P48730,CK1,CK1,NA,0.5361095753263128,0.5361095753263128,0.5376020021010439,-1.483386408461939,-1.483386408461939,0,NA,3
DCLK1,O15075,CAMK,DCAMKL,NA,0.5071636674257917,0.5117058071453975,0.585026652029182,-1.4170389737036992,-1.4170389737036992,0.05178757366167775,NA,4
PKN2,Q16513,AGC,PKN,NA,0.5114492834995558,0.5114492834995558,0.5114492834995558,-1.4426572691830362,-1.4426572691830362,NA,NA,3
CDKL1,Q00532,CMGC,CDKL,NA,0.5592145284700116,0.48945498979338786,0.8297382846050426,-1.4001846634113444,-1.4361785784145242,0.15950287840248534,NA,5
PRKD1,Q15139,CAMK,PKD,NA,0.4688931631916379,0.4762535331884355,0.48945498979338786,-1.3728607444103555,-1.3728607444103555,0,NA,6
SGK2,Q9HBY8,AGC,SGK,NA,0.5623535477629443,0.46092390120722343,1.0655015487564323,-1.3272240766081052,-1.342421714381623,0.0565780088145895,NA,15
RPS6KA4,O75676,AGC-CAMK,RSK,NA,0.43072285522011633,0.4474152860003342,0.5171264163912462,-1.4316490887188476,-1.3989914068183575,0.06047027663090382,NA,4
AURKB,Q96GD4,CAMK,AUR,NA,0.3873280130715723,0.41116827440579273,0.46092390120722343,-1.3688541370300815,-1.348787408398122,0.039818680190088405,NA,4
PRKCE,Q02156,AGC,PKC,NA,0.34678496421420096,0.4089353929735008,0.5030703519267851,-1.3111310903079088,-1.2750476082800861,0.06810128609274932,NA,19
CSNK2A1,P68400,CMGC,CK2,NA,0.3800501602479806,0.3809066693732573,0.4089353929735008,-1.3533979335724264,-1.3533979335724264,0,NA,3
PLK3,Q9H4B4,CAMK,PLK,NA,0.4721886437250584,0.3809066693732573,0.6861327796308466,-1.338754515051418,-1.3734613332911154,0.0518909541817388,NA,6
PRKCG,P05129,AGC,PKC,NA,0.3607632481917407,0.37675070960209955,0.5199930570428494,-1.3162118312211497,-1.2996608067504962,0.03638170880246728,NA,13
PRKCH,P24723,AGC,PKC,NA,0.3183031609828122,0.37468754903832613,0.438898616350944,-1.3033885815147586,-1.2724730217404803,0.0628798496217021,NA,13
CSNK1A1,P48729,CK1,CK1,NA,0.37163485084022646,0.3585258894959005,0.5228787452803376,-1.3103622835635003,-1.3175757269883477,0.05167355478425382,NA,9
CDK14,O94921,CMGC,CDK,NA,0.3524519930760581,0.3506826084377822,0.38721614328026455,-1.3368721163327129,-1.3368721163327129,0,NA,3
IKBKB,O14920,OTHER,IKK,NA,0.3060306505895494,0.3279021420642826,0.5030703519267851,-1.3258327190282826,-1.2838059835350721,0.06773893016311247,NA,4
CDK6,Q00534,CMGC,CDK,NA,0.30768910384187226,0.30803489723263966,0.3316140833099998,-1.2941507344093515,-1.2926436000042592,0.004521403215276868,NA,4
CDK4,P11802,CMGC,CDK,NA,0.312831897156964,0.30451832350980257,0.3957739469155299,-1.2941507344093515,-1.2987184854788456,0.013703253208482202,NA,4
PRKCQ,Q04759,AGC,PKC,NA,0.3049379561351853,0.29929628285498067,0.4412914294668343,-1.2841523311478376,-1.2781410598183578,0.026748930420758474,NA,19
CDK19,Q9BWU1,CMGC,CDK,NA,0.286605732899115,0.28903688100472424,0.32239304727950685,-1.2805865247635209,-1.2805865247635209,0,NA,3
AURKA,O14965,CAMK,AUR,NA,0.2820073706667677,0.27901425584626094,0.30277065724028246,-1.2734102153153053,-1.2734102153153053,0,NA,5
RPS6KA3,P51812,AGC-CAMK,RSK,NA,0.2863665056501726,0.27245874297144357,0.4067139329795427,-1.266816592016793,-1.2761807166370824,0.026285160576261558,NA,19
DAPK1,P53355,CAMK,DAPK,NA,0.2572812594618493,0.2572812594618493,0.2596373105057561,-1.2455967222149338,-1.2455967222149338,0,NA,3
CDK15,Q96Q40,CMGC,CDK,NA,0.24368329126418203,0.2564902352715702,0.28232949699773785,-1.2741211986777534,-1.2558170239991644,0.027456835603694624,NA,5
SGK1,O00141,AGC,SGK,NA,0.317031026253533,0.23657200643706275,0.7958800173440752,-1.2429110239167875,-1.2523314448385252,0.07555016720203012,NA,19
MAPKAPK2,P49137,CAMK,MAPKAPK,NA,0.2303902173846794,0.23358715288760054,0.34294414714289606,-1.262424615652625,-1.260620229711254,0.021305467213440572,NA,27
ROCK2,O75116,AGC,DMPK,NA,0.2334331737204317,0.22621355501880647,0.38721614328026455,-1.2149880412532847,-1.2142843718857557,0.11684985259059309,NA,4
DAPK2,Q9UIK4,CAMK,DAPK,NA,0.21629680653334604,0.2160987704114734,0.23507701535011155,-1.2098916058181113,-1.2098916058181113,0,NA,3
PRKDC,P78527,Atypical,PIKK,NA,0.20668848297726658,0.20901152491118416,0.22767829327708025,-1.2050638825466435,-1.2050638825466435,0,NA,4
DCLK2,Q8N568,CAMK,DCAMKL,NA,0.20184750920477956,0.20760831050174613,0.2907300390241692,-1.2163197773114018,-1.2241442093926187,0.02803646557207354,NA,10
PRKAA1,Q13131,CAMK,CAMKL,NA,0.1957822898826233,0.20760831050174613,0.239577516576788,-1.2388946827949812,-1.2331619099356224,0.019146782921064982,NA,9
ATR,Q13535,Atypical,PIKK,NA,0.20496543466632014,0.20342566678957033,0.2218487496163564,-1.225575607836932,-1.222859421317956,0.008148559556927651,NA,7
CDK10,Q15131,CMGC,CDK,NA,0.23062678529510325,0.18842499412940666,0.3979400086720376,-1.198088744418782,-1.2356813854824462,0.07366541967110757,NA,5
IKBKE,Q14164,OTHER,IKK,NA,0.20746865610799642,0.18442225167573273,0.368556230986828,-1.196022536465072,-1.2168441318275467,0.07739868172625454,NA,7
RPS6KA1,Q15418,AGC-CAMK,RSK,NA,0.1879424031478729,0.1778319206319825,0.348721986001856,-1.2346800304089547,-1.233775067197663,0.04425292107009627,NA,20
