UniprotID	Score
P17612	-1.642557989685256
Q13237	-1.8758683544056194
Q13976	-1.6893960971458053
P51817	-2.1178541309637673
Q9UBS0	-1.8696804206354356
O15111	-3
P22694	-1.6158108689419615
Q9Y2H1	-2.2582719658301906
Q9P1W9	-1.3196200648183192
P17252	-1.477085312346201
Q13555	-2.1777294930214612
Q05655	-1.5479952556487826
O75582	-1.346189515067441
P31749	-1.444246309367214
P11309	-1.1227382160563613
Q9UQM7	-2.2990185561058523
P31751	-1.3394797389679485
P11801	-2.42935799335092
Q9Y243	-1.7524420790919035
O43930	-2.0555565461508123
P05771	-1.356645754164042
Q16566	-1.5310878294914638
Q13557	-1.725663462008711
P42345	-1.7987071835327666
Q13554	-2.015308151556244
Q5MAI5	-1.9832540283731803
P49674	-1.8780365862797814
P48730	-1.8780365862797814
O15075	-1.5504343867388402
Q16513	-1.6769292539194922
Q00532	-1.467213247238262
Q15139	-1.33229656210311
Q9HBY8	-1.1069574392536055
O75676	-1.6225744149396184
Q96GD4	-1.3125132291791235
Q02156	-1.0274954716833848
P68400	-1.236195489575012
Q9H4B4	-1.1638910194208716
P05129	-1.0525825289982673
P24723	-0.989265464451853
P48729	-1.0236993523396933
O94921	-1.1545963426499017
O14920	-1.1000873649974003
Q00534	-0.9436519596979505
P11802	-0.9436519596979505
Q04759	-0.8942830743400645
Q9BWU1	-0.8766762743349719
O14965	-0.8412419765601071
P51812	-0.8086847947578564
P53355	-0.7039079326773194
Q96Q40	-0.8447525827233107
O00141	-0.69064682208604955
P49137	-0.786998634283437
O75116	-0.5527721541107211
Q9UIK4	-0.5276076023165936
P78527	-0.5037698643803665
Q8N568	-0.559347836553258
Q13131	-0.6708154270908255
Q13535	-0.6050501376262516
Q15131	-0.46932888559775376
Q14164	-0.459126618203229
Q15418	-0.6500048351366101
O43293	-0.2803876709852502
Q86SG6	-0.1430740633710328
O96017	-0.5603910954282623
Q14004	-0.25299533436974597
Q16644	-0.6958751718033045
Q9C098	0.12555219576029453
Q99558	0.20007896733605168
Q32MK0	0.06153728025905014
P50613	-0.3128327730889744
Q13153	-0.1962349421799625
P04049	-0.22338834847851308
P23443	-0.4433797898179308
Q00526	-0.13319121405003864
O14757	-0.18648212199876868
Q96BR1	-0.4140334498672753
P10398	0.4741240815390997
P15056	0.4741240815390997
Q86V86	0.4741240815390997
P41743	-0.23696429761437354
Q05513	-0.1768250590703495
P16066	-0.37068712255354264
Q15349	-0.45740304048856295
Q9UK32	-0.17882157865468207
P22612	0.794736840796145
Q9Y478	0.596728624543323
Q9UHD2	0.9951478568948131
Q9UPZ9	1.165810505895271
P50750	0.4012691700125828
O60285	0.9601860413425758
Q15759	0.81079161902383
Q13464	1.1453151177473462
P06493	0.03989990682846001
Q00535	0.2628002075757161
Q8NI60	0.5141501381975249
Q8TD08	1.5079981711291737
Q9Y6S9	1.5479208665866846
Q16512	1.0440789068299896
P20594	0.8392653972258879
Q00537	1.627163208075081
P49841	1.174066042719942
Q8IWB6	2.0788224462196707
Q92772	1.622282487807392
Q9UQ88	1.3352674688296888
Q07002	1.5995101565419523
P24941	0.43264887851779577
P20794	2.306797094990565
O76039	1.2800838820487392
Q16539	0.4989199689714572
P49840	3
Q13627	2.8140215254977967
P53778	1.4039466264524778
P45984	0.5254036498488288
P28482	0.8615801102778624
O15264	0.8286237782717762
Q13164	1.2230710148231614
P53779	0.690675605064897
P27361	1.2418247907831113
P45983	0.690675605064897
