Kinase,Z,method,AvgZ
DMPK,2.78,710418301>0.15,2.2625
PKCH,2.56,710418301>0.15,2.171666666666667
PAKB,2.51,710418301>0.15,2.1691666666666665
MST,2.05,710418301>0.15,1.7183333333333333
NMO,-1.98,710418301>0.15,-1.7566666666666666
WNK,1.78,710418301>0.15,1.97
BRSK,1.73,710418301>0.15,1.5233333333333332
CK1,-1.69,710418301>0.15,-1.9466666666666668
DYRK,1.6,710418301>0.15,1.0483333333333333
MELK,1.58,710418301>0.15,1.4483333333333333
PDK1,1.5,710418301>0.15,1.3266666666666667
RIPK,-1.43,710418301>0.15,-1.4025
MLK,-1.38,710418301>0.15,-1.2075
STE7,-1.36,710418301>0.15,-1.4458333333333333
MAPKAPK,1.32,710418301>0.15,1.6441666666666666
PLK,-1.27,710418301>0.15,-1.4033333333333333
ATM,-1.17,710418301>0.15,-1.0291666666666666
MSN,-1.15,710418301>0.15,-1.0250000000000001
IKK,-1.15,710418301>0.15,-0.975
DAPK,1.12,710418301>0.15,0.32333333333333336
ERK,1.11,710418301>0.15,1.0233333333333334
PHK,1.1,710418301>0.15,0.5775
PKD,-1.03,710418301>0.15,-0.8241666666666667
RAD53,0.97,710418301>0.15,0.7758333333333334
BARK2,-0.94,710418301>0.15,-0.8783333333333333
PAKA,0.94,710418301>0.15,0.66
NAK,-0.83,710418301>0.15,-0.7208333333333333
TLK,-0.83,710418301>0.15,-0.7191666666666666
MLCK,0.83,710418301>0.15,0.44916666666666666
SGK,0.83,710418301>0.15,0.9375
PKN,0.83,710418301>0.15,0.5925
VRK1,0.81,710418301>0.15,0.4316666666666667
NUAK,-0.8,710418301>0.15,-0.72
TTK,-0.79,710418301>0.15,-0.7141666666666666
HAL,-0.79,710418301>0.15,-0.7166666666666667
CK2,-0.77,710418301>0.15,-0.7391666666666666
PIM,0.77,710418301>0.15,0.3825
PDHK,-0.75,710418301>0.15,-0.36666666666666664
GRK,-0.64,710418301>0.15,0.18666666666666668
RAF,0.64,710418301>0.15,0.5516666666666666
PRKDC,-0.63,710418301>0.15,-0.9091666666666667
CHK1,0.63,710418301>0.15,0.75
STKR,-0.6,710418301>0.15,0.08583333333333334
PEK,-0.6,710418301>0.15,-0.04166666666666665
P38,0.59,710418301>0.15,0.5158333333333334
BUD32,-0.58,710418301>0.15,-0.5066666666666666
AKT,0.58,710418301>0.15,0.4558333333333333
CAMKK,-0.57,710418301>0.15,-0.5116666666666667
NIK,-0.57,710418301>0.15,-0.5075
CAMK1,-0.57,710418301>0.15,-0.7075
KHS,-0.57,710418301>0.15,-0.5041666666666667
TAO,-0.57,710418301>0.15,-0.5083333333333333
PASK,-0.57,710418301>0.15,-0.5075
ULK,-0.56,710418301>0.15,-0.5075000000000001
MOS,-0.56,710418301>0.15,-0.5008333333333334
CLK,-0.55,710418301>0.15,-0.5058333333333334
SLK,-0.55,710418301>0.15,-0.505
MARK,0.53,710418301>0.15,0.2491666666666667
NEK,0.51,710418301>0.15,0.5383333333333333
QIK,-0.46,710418301>0.15,-0.28833333333333333
AMPK,-0.43,710418301>0.15,-1.0483333333333333
RSK,-0.41,710418301>0.15,-0.5175
IRAK,0.39,710418301>0.15,0.2675
STE11,-0.31,710418301>0.15,-0.09250000000000001
AUR,0.27,710418301>0.15,-0.07583333333333334
PKCI,0.26,710418301>0.15,0.33916666666666667
LKB,0.26,710418301>0.15,1.0983333333333332
COT,-0.21,710418301>0.15,-0.4175
NDR,-0.19,710418301>0.15,-0.41666666666666663
PKG,0.18,710418301>0.15,0.15583333333333332
JNK,0.17,710418301>0.15,-0.28833333333333333
PKA,0.17,710418301>0.15,0.19083333333333333
FRAY,0.13,710418301>0.15,0.48000000000000004
PKCD,-0.11,710418301>0.15,-0.2375
PKCA,-0.09,710418301>0.15,-0.003333333333333364
ATR,-0.08,710418301>0.15,-0.7175
CDK,-0.07,710418301>0.15,0.1366666666666667
CAMK2,-0.06,710418301>0.15,0.2966666666666667
GSK,-0.03,710418301>0.15,-0.3575
MTOR,-0.02,710418301>0.15,0.07916666666666668
PKCH,2.75,710418301>0.2,2.171666666666667
DMPK,2.68,710418301>0.2,2.2625
PAKB,2.54,710418301>0.2,2.1691666666666665
MST,2.17,710418301>0.2,1.7183333333333333
CK1,-2.04,710418301>0.2,-1.9466666666666668
NMO,-1.92,710418301>0.2,-1.7566666666666666
WNK,1.86,710418301>0.2,1.97
BRSK,1.84,710418301>0.2,1.5233333333333332
MELK,1.74,710418301>0.2,1.4483333333333333
MAPKAPK,1.46,710418301>0.2,1.6441666666666666
DYRK,1.38,710418301>0.2,1.0483333333333333
MLK,-1.37,710418301>0.2,-1.2075
PDK1,1.32,710418301>0.2,1.3266666666666667
RIPK,-1.3,710418301>0.2,-1.4025
STE7,-1.21,710418301>0.2,-1.4458333333333333
PLK,-1.18,710418301>0.2,-1.4033333333333333
ATM,-1.13,710418301>0.2,-1.0291666666666666
PAKA,1.1,710418301>0.2,0.66
MSN,-1.08,710418301>0.2,-1.0250000000000001
RAD53,1.06,710418301>0.2,0.7758333333333334
IKK,-1.05,710418301>0.2,-0.975
PHK,0.97,710418301>0.2,0.5775
BARK2,-0.94,710418301>0.2,-0.8783333333333333
SGK,0.94,710418301>0.2,0.9375
ERK,0.91,710418301>0.2,1.0233333333333334
PKN,0.9,710418301>0.2,0.5925
PKD,-0.88,710418301>0.2,-0.8241666666666667
VRK1,0.87,710418301>0.2,0.4316666666666667
HAL,-0.81,710418301>0.2,-0.7166666666666667
AKT,0.8,710418301>0.2,0.4558333333333333
NAK,-0.8,710418301>0.2,-0.7208333333333333
TTK,-0.79,710418301>0.2,-0.7141666666666666
TLK,-0.78,710418301>0.2,-0.7191666666666666
NUAK,-0.77,710418301>0.2,-0.72
CK2,-0.73,710418301>0.2,-0.7391666666666666
PEK,-0.71,710418301>0.2,-0.04166666666666665
DAPK,0.7,710418301>0.2,0.32333333333333336
RAF,0.7,710418301>0.2,0.5516666666666666
CHK1,0.66,710418301>0.2,0.75
RSK,-0.61,710418301>0.2,-0.5175
NEK,0.6,710418301>0.2,0.5383333333333333
PRKDC,-0.58,710418301>0.2,-0.9091666666666667
PDHK,-0.58,710418301>0.2,-0.36666666666666664
NIK,-0.57,710418301>0.2,-0.5075
BUD32,-0.57,710418301>0.2,-0.5066666666666666
PIM,0.57,710418301>0.2,0.3825
CLK,-0.56,710418301>0.2,-0.5058333333333334
ULK,-0.56,710418301>0.2,-0.5075000000000001
STKR,-0.56,710418301>0.2,0.08583333333333334
GRK,-0.56,710418301>0.2,0.18666666666666668
CAMKK,-0.56,710418301>0.2,-0.5116666666666667
MARK,0.56,710418301>0.2,0.2491666666666667
KHS,-0.55,710418301>0.2,-0.5041666666666667
TAO,-0.55,710418301>0.2,-0.5083333333333333
PASK,-0.54,710418301>0.2,-0.5075
SLK,-0.54,710418301>0.2,-0.505
CAMK1,-0.54,710418301>0.2,-0.7075
MOS,-0.53,710418301>0.2,-0.5008333333333334
GSK,-0.5,710418301>0.2,-0.3575
PKCI,0.38,710418301>0.2,0.33916666666666667
PKA,0.37,710418301>0.2,0.19083333333333333
P38,0.34,710418301>0.2,0.5158333333333334
PKG,0.34,710418301>0.2,0.15583333333333332
AMPK,-0.33,710418301>0.2,-1.0483333333333333
AUR,0.31,710418301>0.2,-0.07583333333333334
STE11,-0.31,710418301>0.2,-0.09250000000000001
LKB,0.3,710418301>0.2,1.0983333333333332
QIK,-0.27,710418301>0.2,-0.28833333333333333
FRAY,0.22,710418301>0.2,0.48000000000000004
IRAK,-0.2,710418301>0.2,0.2675
MLCK,-0.2,710418301>0.2,0.44916666666666666
PKCA,-0.2,710418301>0.2,-0.003333333333333364
NDR,-0.19,710418301>0.2,-0.41666666666666663
CDK,-0.18,710418301>0.2,0.1366666666666667
COT,-0.17,710418301>0.2,-0.4175
JNK,-0.09,710418301>0.2,-0.28833333333333333
MTOR,0.05,710418301>0.2,0.07916666666666668
ATR,-0.03,710418301>0.2,-0.7175
PKCD,-0.03,710418301>0.2,-0.2375
CAMK2,0.02,710418301>0.2,0.2966666666666667
PKCH,2.76,710418301>0.3,2.171666666666667
PAKB,2.68,710418301>0.3,2.1691666666666665
DMPK,2.56,710418301>0.3,2.2625
MST,2.26,710418301>0.3,1.7183333333333333
CK1,-1.91,710418301>0.3,-1.9466666666666668
NMO,-1.86,710418301>0.3,-1.7566666666666666
MELK,1.82,710418301>0.3,1.4483333333333333
WNK,1.81,710418301>0.3,1.97
BRSK,1.8,710418301>0.3,1.5233333333333332
DYRK,1.53,710418301>0.3,1.0483333333333333
PDK1,1.46,710418301>0.3,1.3266666666666667
PRKDC,-1.29,710418301>0.3,-0.9091666666666667
MLK,-1.23,710418301>0.3,-1.2075
