Group,Barcode,SampleName,Peptide,slope,r.seq,nobs
SCZ,710418301M,SCZ_710418301M,PLEK_106_118,10.062937090936416,0.9999898768375534,5
SCZ,710418301M,SCZ_710418301M,LMNA_192_204,5.895046490227311,0.9918238993710693,5
SCZ,710418301M,SCZ_710418301M,RBL2_655_667,9.16034714399252,0.999840615408647,5
SCZ,710418301M,SCZ_710418301M,ACM1_444_456,4.926715573964768,0.9516524082971991,5
SCZ,710418301M,SCZ_710418301M,CENPA_1_14,9.8914398223075235,0.9999318744746432,5
SCZ,710418301M,SCZ_710418301M,NEK2_172_184,5.517632251692483,0.9850326495966422,5
SCZ,710418301M,SCZ_710418301M,PPR1A_28_40,10.936026733483992,0.9999862193354476,5
SCZ,710418301M,SCZ_710418301M,BAD_69_81,7.681470481574503,0.9998026989699805,5
SCZ,710418301M,SCZ_710418301M,KAPCG_192_206,6.503900724094206,0.9979201460297303,5
SCZ,710418301M,SCZ_710418301M,MARCS_152_164,4.986325063102924,0.9950080379050681,5
SCZ,710418301M,SCZ_710418301M,NEK3_158_170,5.509289506191823,0.9959317746786984,5
SCZ,710418301M,SCZ_710418301M,ACM5_494_506,5.873850333844511,0.9885973710173286,5
SCZ,710418301M,SCZ_710418301M,BAD_93_105,5.90325660114078,0.9976939644059796,5
SCZ,710418301M,SCZ_710418301M,GPR6_349_361,11.347830261050964,0.9999804346189712,5
SCZ,710418301M,SCZ_710418301M,BCKD_45_57,7.24182579625131,0.9995701160108953,5
SCZ,710418301M,SCZ_710418301M,VASP_271_283,11.246113154654408,0.9999732621099784,5
SCZ,710418301M,SCZ_710418301M,ADDB_696_708,6.159300160905186,0.9996115509261194,5
SCZ,710418301M,SCZ_710418301M,GSUB_61_73,6.233529239834997,0.9958787623763616,5
SCZ,710418301M,SCZ_710418301M,NR4A1_344_356,5.767934572323972,0.9977729819742653,5
SCZ,710418301M,SCZ_710418301M,RAF1_253_265,8.633886278560125,0.9985866042475673,5
SCZ,710418301M,SCZ_710418301M,ADDB_706_718,6.693092401216027,0.9998569080434702,5
SCZ,710418301M,SCZ_710418301M,C1R_201_213,5.6007544727647485,0.9962866575098195,5
SCZ,710418301M,SCZ_710418301M,GYS2_1_13,10.57717940251217,0.9999502994506145,5
SCZ,710418301M,SCZ_710418301M,RAP1B_172_184,10.904421611725068,0.9999764336263908,5
SCZ,710418301M,SCZ_710418301M,H2B1B_ 27_40,9.79116288855502,0.9999497198540241,5
SCZ,710418301M,SCZ_710418301M,KIF2C_105_118_S106G,10.896303840499012,0.999973428986265,5
SCZ,710418301M,SCZ_710418301M,MP2K1_287_299,4.670823237374995,0.9659211363154547,5
SCZ,710418301M,SCZ_710418301M,ERBB2_679_691,9.829184203926657,0.9999905628025185,5
SCZ,710418301M,SCZ_710418301M,H32_3_18,6.544126069826739,0.9975889444760713,5
SCZ,710418301M,SCZ_710418301M,KPCB_19_31_A25S,9.201060486039284,0.9998784977819403,5
SCZ,710418301M,SCZ_710418301M,ERF_519_531,10.178453458513635,0.9999414493447605,5
SCZ,710418301M,SCZ_710418301M,MPIP1_172_184,4.338168735894573,0.9749423103027012,5
SCZ,710418301M,SCZ_710418301M,PDE5A_95_107,11.384274672605525,0.9999887910928146,5
SCZ,710418301M,SCZ_710418301M,MPIP3_208_220,4.708791087574014,0.9946544332373713,5
CTL,710418301M,CTL_710418301M,PLEK_106_118,10.205816298037048,0.9999379815259655,5
CTL,710418301M,CTL_710418301M,LMNA_192_204,5.051798900580205,0.9985021969501163,5
CTL,710418301M,CTL_710418301M,RBL2_655_667,8.986325063102923,0.9997392638096231,5
CTL,710418301M,CTL_710418301M,ACM1_444_456,5.190942782711396,0.9822054507337525,5
CTL,710418301M,CTL_710418301M,CENPA_1_14,10.000318956862102,0.999953719329724,5
CTL,710418301M,CTL_710418301M,NEK2_172_184,5.108129900494871,0.9913326213361813,5
CTL,710418301M,CTL_710418301M,PPR1A_28_40,11.09071164920773,0.9999573318351477,5
CTL,710418301M,CTL_710418301M,BAD_69_81,7.864536582704881,0.9977523810520313,5
CTL,710418301M,CTL_710418301M,KAPCG_192_206,6.541790666579583,0.9957417719285923,5
CTL,710418301M,CTL_710418301M,MARCS_152_164,4.677221008573145,0.9889718379552935,5
CTL,710418301M,CTL_710418301M,NEK3_158_170,5.420556127615078,0.9933033132599794,5
CTL,710418301M,CTL_710418301M,ACM5_494_506,5.738665883156045,0.9978296404828115,5
CTL,710418301M,CTL_710418301M,BAD_93_105,5.7629304221770985,0.9971977423984127,5
CTL,710418301M,CTL_710418301M,GPR6_349_361,11.161916195357508,0.9999162741195567,5
CTL,710418301M,CTL_710418301M,BCKD_45_57,6.929397995018088,0.9979071773868029,5
CTL,710418301M,CTL_710418301M,VASP_271_283,11.320545133049237,0.9999863818829839,5
CTL,710418301M,CTL_710418301M,ADDB_696_708,6.044394119358453,0.9990825688073394,5
CTL,710418301M,CTL_710418301M,GSUB_61_73,5.418011691257317,0.8718699485173261,5
CTL,710418301M,CTL_710418301M,NR4A1_344_356,4.702532097102332,0.9936967774252796,5
CTL,710418301M,CTL_710418301M,RAF1_253_265,8.541790666579583,0.9997230080440825,5
CTL,710418301M,CTL_710418301M,ADDB_706_718,6.968177716392664,0.9984105780087333,5
CTL,710418301M,CTL_710418301M,C1R_201_213,5.245059331503092,0.9899779465817201,5
CTL,710418301M,CTL_710418301M,GYS2_1_13,10.326259878017842,0.9998835415041042,5
CTL,710418301M,CTL_710418301M,RAP1B_172_184,10.947016587001393,0.9999640458445826,5
CTL,710418301M,CTL_710418301M,H2B1B_ 27_40,9.577713832983513,0.9998343697637847,5
CTL,710418301M,CTL_710418301M,KIF2C_105_118_S106G,10.92313123661573,0.9999585645549365,5
CTL,710418301M,CTL_710418301M,MP2K1_287_299,3.5804185755762084,0.9159511439248929,5
CTL,710418301M,CTL_710418301M,ERBB2_679_691,9.883623121556624,0.9995448007674526,5
CTL,710418301M,CTL_710418301M,H32_3_18,5.997445803332442,0.9937554173340822,5
CTL,710418301M,CTL_710418301M,KPCB_19_31_A25S,9.517260834693575,0.9999744661458191,5
CTL,710418301M,CTL_710418301M,ERF_519_531,10.09465037638697,0.9999672548607875,5
CTL,710418301M,CTL_710418301M,MPIP1_172_184,4.308253157990286,0.9793732011512631,5
CTL,710418301M,CTL_710418301M,PDE5A_95_107,11.003875859833602,0.9998585978679164,5
CTL,710418301M,CTL_710418301M,MPIP3_208_220,3.9863250631029237,0.9935229512813292,5
SCZ,710418301F,SCZ_710418301F,PLEK_106_118,9.342787513799784,0.9999429208766363,5
SCZ,710418301F,SCZ_710418301F,LMNA_192_204,5.020272395026262,0.9925118763251832,5
SCZ,710418301F,SCZ_710418301F,RBL2_655_667,8.387448383257025,0.999494794109942,5
SCZ,710418301F,SCZ_710418301F,ACM1_444_456,4.826668397114438,0.9953252604900028,5
SCZ,710418301F,SCZ_710418301F,CENPA_1_14,9.229000150157889,0.9999245687933711,5
SCZ,710418301F,SCZ_710418301F,NEK2_172_184,3.7518598094659006,0.9735619891528532,5
SCZ,710418301F,SCZ_710418301F,PPR1A_28_40,10.458348572279798,0.9999484853729255,5
SCZ,710418301F,SCZ_710418301F,BAD_69_81,6.867337026885837,0.999610090042677,5
SCZ,710418301F,SCZ_710418301F,KAPCG_192_206,4.616375453352618,0.9890444309190505,5
SCZ,710418301F,SCZ_710418301F,MARCS_152_164,4.217523381814712,0.9819764857985536,5
SCZ,710418301F,SCZ_710418301F,NEK3_158_170,4.939191087511829,0.9397975288279705,5
SCZ,710418301F,SCZ_710418301F,ACM5_494_506,5.199857507519143,0.9862009459951141,5
SCZ,710418301F,SCZ_710418301F,BAD_93_105,4.946271813582484,0.9672912500362287,5
SCZ,710418301F,SCZ_710418301F,GPR6_349_361,10.258277132643075,0.9999677775146364,5
SCZ,710418301F,SCZ_710418301F,BCKD_45_57,6.1385857576630025,0.9948225227822127,5
SCZ,710418301F,SCZ_710418301F,VASP_271_283,10.960985476049514,0.9999442457279522,5
SCZ,710418301F,SCZ_710418301F,ADDB_696_708,5.6514579125080635,0.9954185111002641,5
SCZ,710418301F,SCZ_710418301F,GSUB_61_73,5.082651180177948,0.95813411910080315,5
SCZ,710418301F,SCZ_710418301F,NR4A1_344_356,4.779874185635498,0.9736804394554573,5
SCZ,710418301F,SCZ_710418301F,RAF1_253_265,7.705664986587295,0.9988160303923392,5
SCZ,710418301F,SCZ_710418301F,ADDB_706_718,6.237863830098888,0.9993604093380237,5
SCZ,710418301F,SCZ_710418301F,C1R_201_213,4.52474497788705,0.9874479208130987,5
SCZ,710418301F,SCZ_710418301F,GYS2_1_13,8.934302850754642,0.9998118704376023,5
SCZ,710418301F,SCZ_710418301F,RAP1B_172_184,10.047329724738347,0.9999275657609141,5
SCZ,710418301F,SCZ_710418301F,H2B1B_ 27_40,8.996593398556751,0.9998592407744017,5
SCZ,710418301F,SCZ_710418301F,KIF2C_105_118_S106G,10.419801216324892,0.99991736751269,5
SCZ,710418301F,SCZ_710418301F,MP2K1_287_299,3.8532801273617583,0.9643613174676221,5
SCZ,710418301F,SCZ_710418301F,ERBB2_679_691,9.157108556115281,0.9999226358083628,5
SCZ,710418301F,SCZ_710418301F,H32_3_18,5.80053365620159,0.998809136818779,5
SCZ,710418301F,SCZ_710418301F,KPCB_19_31_A25S,8.639084692259104,0.9998590495307206,5
SCZ,710418301F,SCZ_710418301F,ERF_519_531,8.181410138443637,0.9993611795188388,5
SCZ,710418301F,SCZ_710418301F,MPIP1_172_184,2.8266683971144384,0.8774577954319762,5
SCZ,710418301F,SCZ_710418301F,PDE5A_95_107,9.043672178800355,0.999821971775689,5
SCZ,710418301F,SCZ_710418301F,MPIP3_208_220,2.8645365827048814,0.924751737835154,5
CTL,710418301F,CTL_710418301F,PLEK_106_118,9.091061084869244,0.999911307431203,5
CTL,710418301F,CTL_710418301F,LMNA_192_204,4.190942782711396,0.9246704034104366,5
CTL,710418301F,CTL_710418301F,RBL2_655_667,7.857746315169204,0.9994757102352758,5
CTL,710418301F,CTL_710418301F,ACM1_444_456,5.010171805057292,0.9724861657443828,5
CTL,710418301F,CTL_710418301F,CENPA_1_14,8.982132585461214,0.9997551700215298,5
CTL,710418301F,CTL_710418301F,NEK2_172_184,3.7558953227010576,0.9750760803408399,5
CTL,710418301F,CTL_710418301F,PPR1A_28_40,10.219442527941233,0.9998704971557336,5
CTL,710418301F,CTL_710418301F,BAD_69_81,6.190197396468574,0.9981033444049325,5
CTL,710418301F,CTL_710418301F,KAPCG_192_206,4.246494135242329,0.9966085004135975,5
CTL,710418301F,CTL_710418301F,MARCS_152_164,4.095446785483036,0.9583831496357184,5
CTL,710418301F,CTL_710418301F,NEK3_158_170,3.9445048874082964,0.8847408982195057,5
CTL,710418301F,CTL_710418301F,ACM5_494_506,5.079434467494405,0.9797847152725231,5
CTL,710418301F,CTL_710418301F,BAD_93_105,4.117569596381176,0.9438422766403498,5
CTL,710418301F,CTL_710418301F,GPR6_349_361,9.971814650601305,0.9999253471687071,5
CTL,710418301F,CTL_710418301F,BCKD_45_57,5.647118976783726,0.9894489982551519,5
CTL,710418301F,CTL_710418301F,VASP_271_283,10.876401109314074,0.9999440545058781,5
CTL,710418301F,CTL_710418301F,ADDB_696_708,5.368794699925337,0.997491764001198,5
CTL,710418301F,CTL_710418301F,GSUB_61_73,4.5200070588803865,0.9851401769534164,5
CTL,710418301F,CTL_710418301F,NR4A1_344_356,5.011860155210061,0.9859131185348026,5
CTL,710418301F,CTL_710418301F,RAF1_253_265,7.545000872303804,0.996323107970186,5
CTL,710418301F,CTL_710418301F,ADDB_706_718,6.145523657952178,0.9991471675401291,5
CTL,710418301F,CTL_710418301F,C1R_201_213,4.0762105666201185,0.9766790497604849,5
CTL,710418301F,CTL_710418301F,GYS2_1_13,8.584111604181663,0.9997278097792457,5
CTL,710418301F,CTL_710418301F,RAP1B_172_184,9.840807607762024,0.999947747044014,5
CTL,710418301F,CTL_710418301F,H2B1B_ 27_40,8.854103885717368,0.999690143668942,5
CTL,710418301F,CTL_710418301F,KIF2C_105_118_S106G,9.960056590994792,0.9999519253899276,5
CTL,710418301F,CTL_710418301F,MP2K1_287_299,4.0697410712905615,0.9910665131875281,5
CTL,710418301F,CTL_710418301F,ERBB2_679_691,8.736370019287568,0.9999079743267473,5
CTL,710418301F,CTL_710418301F,H32_3_18,5.177466550454932,0.9984160931020257,5
CTL,710418301F,CTL_710418301F,KPCB_19_31_A25S,8.127142663804424,0.9999732396996069,5
CTL,710418301F,CTL_710418301F,ERF_519_531,7.580987349500741,0.9997194857238271,5
CTL,710418301F,CTL_710418301F,MPIP1_172_184,4.575860293613904,0.9981856803698613,5
CTL,710418301F,CTL_710418301F,PDE5A_95_107,8.585246021414,0.9998823789111353,5
CTL,710418301F,CTL_710418301F,MPIP3_208_220,3.5388660861317027,0.860522496371553,5
SCZ,710418302M,SCZ_710418302M,PLEK_106_118,9.691052139647114,0.9999423265320668,5
SCZ,710418302M,SCZ_710418302M,LMNA_192_204,5.703577149694852,0.993488951168436,5
SCZ,710418302M,SCZ_710418302M,RBL2_655_667,8.781607152859953,0.99973120905718,5
SCZ,710418302M,SCZ_710418302M,ACM1_444_456,5.262183509294301,0.9936296737501441,5
SCZ,710418302M,SCZ_710418302M,CENPA_1_14,9.48632276488067,0.9998812622825978,5
SCZ,710418302M,SCZ_710418302M,NEK2_172_184,4.864536582704881,0.9995538784067086,5
SCZ,710418302M,SCZ_710418302M,PPR1A_28_40,10.618143058697648,0.9999857916950904,5
SCZ,710418302M,SCZ_710418302M,BAD_69_81,7.432581292992488,0.9998117548729775,5
SCZ,710418302M,SCZ_710418302M,KAPCG_192_206,6.044394119358453,0.9959792924935289,5
SCZ,710418302M,SCZ_710418302M,MARCS_152_164,4.57357574041935,0.9884831181727904,5
SCZ,710418302M,SCZ_710418302M,NEK3_158_170,5.429426480799644,0.9966329657565128,5
SCZ,710418302M,SCZ_710418302M,ACM5_494_506,5.940964529703048,0.9995451785532453,5
SCZ,710418302M,SCZ_710418302M,BAD_93_105,5.963823064608076,0.9899747414435737,5
SCZ,710418302M,SCZ_710418302M,GPR6_349_361,10.866695738392066,0.999967868290868,5
SCZ,710418302M,SCZ_710418302M,BCKD_45_57,6.951559644942248,0.9963123551844656,5
SCZ,710418302M,SCZ_710418302M,VASP_271_283,11.026184123045923,0.9999714073196835,5
SCZ,710418302M,SCZ_710418302M,ADDB_696_708,5.986325063102924,0.997057296174485,5
SCZ,710418302M,SCZ_710418302M,GSUB_61_73,4.2116587597514945,0.9417594437282706,5
SCZ,710418302M,SCZ_710418302M,NR4A1_344_356,4.095446785483036,0.9827075950579446,5
SCZ,710418302M,SCZ_710418302M,RAF1_253_265,8.206507586063605,0.9996202989648106,5
SCZ,710418302M,SCZ_710418302M,ADDB_706_718,6.497889486060344,0.998863745200303,5
SCZ,710418302M,SCZ_710418302M,C1R_201_213,5.815111365692039,0.9993149547268574,5
SCZ,710418302M,SCZ_710418302M,GYS2_1_13,9.840748238817307,0.9998995511501054,5
SCZ,710418302M,SCZ_710418302M,RAP1B_172_184,10.390006677856784,0.9999486685483111,5
SCZ,710418302M,SCZ_710418302M,H2B1B_ 27_40,9.227547833396622,0.9999293771263829,5
SCZ,710418302M,SCZ_710418302M,KIF2C_105_118_S106G,10.728113040725972,0.9999826531310937,5
SCZ,710418302M,SCZ_710418302M,MP2K1_287_299,4.444507054082283,0.987685415925003,5
SCZ,710418302M,SCZ_710418302M,ERBB2_679_691,9.469142621441785,0.9999272199942628,5
SCZ,710418302M,SCZ_710418302M,H32_3_18,5.882181608436465,0.9946861181912199,5
SCZ,710418302M,SCZ_710418302M,KPCB_19_31_A25S,8.65186401948918,0.9998300766525109,5
SCZ,710418302M,SCZ_710418302M,ERF_519_531,9.260409194667888,0.9996866284168331,5
SCZ,710418302M,SCZ_710418302M,MPIP1_172_184,5,0.981055676066522,5
SCZ,710418302M,SCZ_710418302M,PDE5A_95_107,10.451327767092225,0.9999634331201674,5
SCZ,710418302M,SCZ_710418302M,MPIP3_208_220,4.036951136172892,0.9520754716981132,5
CTL,710418302M,CTL_710418302M,PLEK_106_118,10.02268186339596,0.9999435551232043,5
CTL,710418302M,CTL_710418302M,LMNA_192_204,5.826668397114438,0.997418723295427,5
CTL,710418302M,CTL_710418302M,RBL2_655_667,8.90904395676692,0.9997606039588968,5
CTL,710418302M,CTL_710418302M,ACM1_444_456,4.739685095519798,0.9200205564936496,5
CTL,710418302M,CTL_710418302M,CENPA_1_14,9.911194108616215,0.9999030545972293,5
CTL,710418302M,CTL_710418302M,NEK2_172_184,3.7356039187079815,0.9518676953632267,5
CTL,710418302M,CTL_710418302M,PPR1A_28_40,11.012202860035323,0.9999583517208607,5
CTL,710418302M,CTL_710418302M,BAD_69_81,7.589774791201965,0.9989993149878887,5
CTL,710418302M,CTL_710418302M,KAPCG_192_206,6.110495621234138,0.9936517110356315,5
CTL,710418302M,CTL_710418302M,MARCS_152_164,5.410351345609023,0.9853905474180734,5
CTL,710418302M,CTL_710418302M,NEK3_158_170,5.761927505876099,0.9812858281766068,5
CTL,710418302M,CTL_710418302M,ACM5_494_506,5.249359468936717,0.9892166598516269,5
CTL,710418302M,CTL_710418302M,BAD_93_105,5.496081219634906,0.9760933501654783,5
CTL,710418302M,CTL_710418302M,GPR6_349_361,11.00937971025094,0.9999949283096937,5
CTL,710418302M,CTL_710418302M,BCKD_45_57,6.943178271185266,0.9967401512808256,5
CTL,710418302M,CTL_710418302M,VASP_271_283,11.263645677885833,0.9999837003157591,5
CTL,710418302M,CTL_710418302M,ADDB_696_708,5.557481764299049,0.992799592044875,5
CTL,710418302M,CTL_710418302M,GSUB_61_73,5.050156674972159,0.9941887308322264,5
CTL,710418302M,CTL_710418302M,NR4A1_344_356,3.886789389552009,0.8144159423362306,5
CTL,710418302M,CTL_710418302M,RAF1_253_265,8.584962500721156,0.9998372660699757,5
CTL,710418302M,CTL_710418302M,ADDB_706_718,6.678284550855655,0.9992614539751793,5
CTL,710418302M,CTL_710418302M,C1R_201_213,5.401362562381768,0.9931986793244603,5
CTL,710418302M,CTL_710418302M,GYS2_1_13,10.088613255995384,0.9999504775258761,5
CTL,710418302M,CTL_710418302M,RAP1B_172_184,10.781297847059207,0.9999846510777257,5
CTL,710418302M,CTL_710418302M,H2B1B_ 27_40,9.471445162294783,0.9999887932959609,5
CTL,710418302M,CTL_710418302M,KIF2C_105_118_S106G,10.749395121892066,0.9999823568869437,5
CTL,710418302M,CTL_710418302M,MP2K1_287_299,4.801510099582952,0.9926945868324427,5
CTL,710418302M,CTL_710418302M,ERBB2_679_691,9.707945103854536,0.999987864525598,5
CTL,710418302M,CTL_710418302M,H32_3_18,5.693092401216027,0.9867814281664409,5
CTL,710418302M,CTL_710418302M,KPCB_19_31_A25S,9.113545613590997,0.9999481214912165,5
CTL,710418302M,CTL_710418302M,ERF_519_531,9.759793991008118,0.9999376247542804,5
CTL,710418302M,CTL_710418302M,MPIP1_172_184,5.247927513443586,0.9965104166666666,5
CTL,710418302M,CTL_710418302M,PDE5A_95_107,10.836169477759887,0.9999756189854481,5
CTL,710418302M,CTL_710418302M,MPIP3_208_220,4.793679985160528,0.9924950855211185,5
SCZ,710418302F,SCZ_710418302F,PLEK_106_118,9.524892787429815,0.9999633031345542,5
SCZ,710418302F,SCZ_710418302F,LMNA_192_204,5.328717260550001,0.9798750777524362,5
SCZ,710418302F,SCZ_710418302F,RBL2_655_667,8.347725818590327,0.9992408558736298,5
SCZ,710418302F,SCZ_710418302F,ACM1_444_456,4.169925001442313,0.9625560538116592,5
SCZ,710418302F,SCZ_710418302F,CENPA_1_14,9.46537388375264,0.9999338335985527,5
